Observed,Predicted,Intercept,C1_AOD,C2_Sta_Te,C3_Sta_Hu,C4_Sta_Ai,C5_Sta_Wi,C6_Sta_Wi,C7_Sta_ND,Residual,监测点编码,监测点名称,城市,X,Y,Timestamp,Time,PM2_5_12,PM2_5_AV,PM2_5_ACCU
37.0000000000,50.3170712394,20.7109168608,45.6407813333,-16.1243260210,-15.6313305073,12.6457847654,21.5158093192,-0.7131903337,-4.8568699721,-13.3170712394,1233A,云栖,杭州,120.08800000000,30.18080000000,1394,0,46,33,37
45.0000000000,44.9024173106,-8.8613178903,49.6766980179,-17.9396937489,-9.4753287730,34.5669679137,16.0338133682,5.2067355089,8.8326685225,0.0975826894,1247A,城东开发委,绍兴,120.60500000000,29.99190000000,1394,0,61,48,45
45.0000000000,41.0395863921,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,3.9604136079,2010A,市政府,临安,119.71830000000,30.23660000000,1394,0,39,44,45
42.0000000000,39.9255904279,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,2.0744095721,2011A,四中,临安,119.69420000000,30.23110000000,1394,0,42,42,42
83.0000000000,73.6907051153,20.7416907464,47.1790205509,-15.3280361854,-15.8466590792,9.9404905286,19.7080593063,-0.6588946378,-3.1246680701,9.3092948847,1223A,滨江,杭州,120.21100000000,30.21000000000,1417,160925,80,62,83
64.0000000000,68.2128495396,23.7853702796,45.7467534390,-16.2946104432,-17.0836270373,10.8910308680,20.4210777339,-1.2729440353,-5.2938076244,-4.2128495396,1224A,西溪,杭州,120.06300000000,30.27470000000,1417,0,58,48,64
74.0000000000,72.2715239462,22.3195977692,46.3896364072,-15.5657915713,-16.5112585534,10.2960522897,20.0434563300,-0.8433940556,-4.4056540342,1.7284760538,1227A,卧龙桥,杭州,120.12700000000,30.24560000000,1417,0,91,59,74
65.0000000000,56.8515399209,22.5653751228,47.2568961573,-15.2378128095,-16.7798224290,8.7877441628,19.2038386328,-0.9365400242,-3.5369522590,8.1484600791,1228A,浙江农大,杭州,120.19000000000,30.26920000000,1417,0,67,47,65
91.0000000000,72.0698303495,23.4060557312,46.9791203761,-15.3941956616,-17.1436277430,8.7762730563,19.2743903664,-1.0325940196,-4.0349117587,18.9301696505,1229A,朝晖五区,杭州,120.15700000000,30.28970000000,1417,0,117,64,91
75.0000000000,75.8764960026,24.3903395633,46.6462477298,-15.7408519921,-17.5410994078,8.8814404823,19.4080366968,-1.2096792984,-4.5651476842,-0.8764960026,1230A,和睦小学,杭州,120.12000000000,30.31190000000,1417,0,84,57,75
91.0000000000,72.9992806041,25.4444205591,49.5333250983,-16.1873511587,-18.2306791501,4.7855763346,18.2924119238,-2.0448565970,-2.0711822951,18.0007193959,1231A,临平镇,杭州,120.30100000000,30.41830000000,1417,0,71,50,91
96.0000000000,80.2991175753,19.5382745316,47.6639420161,-15.6440318628,-15.2945793174,10.2307314919,19.5787572680,-0.6449911790,-2.1067136462,15.7008824247,1232A,城厢镇,杭州,120.27000000000,30.18190000000,1417,0,93,59,96
43.0000000000,37.3773400595,-8.8613178903,49.6766980179,-17.9396937489,-9.4753287730,34.5669679137,16.0338133682,5.2067355089,8.8326685225,5.6226599405,1247A,城东开发委,绍兴,120.60500000000,29.99190000000,1417,0,47,48,43
60.0000000000,61.0337732080,32.5786570917,42.4481823358,-25.6310083879,-20.2698544629,21.3639220668,25.7886878585,-11.4598498250,-9.3733569854,-1.0337732080,2010A,市政府,临安,119.71830000000,30.23660000000,1417,0,42,56,60
66.0000000000,56.1911325993,33.3740790627,42.5205826831,-26.3891286017,-20.6747210760,22.2934551350,25.9412960057,-12.6186978131,-9.5452193699,9.8088674007,2011A,四中,临安,119.69420000000,30.23110000000,1417,0,51,60,66
76.0000000000,65.3477345145,19.8827050922,43.9587895596,-19.3378352368,-15.9570900557,19.3007039058,25.8857437541,-2.5627061562,-6.3619209913,10.6522654855,2012A,监测站,富阳,119.95400000000,30.05400000000,1417,0,84,60,76
83.0000000000,69.1362050226,20.0442974708,43.8912809823,-19.5698052716,-16.1108044806,19.6533176368,26.0608366102,-2.7888672776,-6.4574932108,13.8637949774,2013A,富春二小,富阳,119.94600000000,30.04900000000,1417,0,87,65,83
